"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC#1 - Verify 261 GET Request 2","2387","getRequest2","Restful booker API Test Suite","Mon May 19 11:21:29 IST 2025","passed","Mon May 19 11:21:32 IST 2025","com.thetestingacademy.ex_ra01.Lab263","ATB6xRestAssuredPractice","com.thetestingacademy.ex_ra01.Lab263","getRequest2"
"TC#2  - verify GET Request 2","8","getRequest2","Restful booker API Test Suite","Fri May 23 10:45:12 IST 2025","passed","Fri May 23 10:45:12 IST 2025","com.thetestingacademy.testng.Lab262","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab262","getRequest2"
"","5","demo5","Default Suite","Mon May 19 11:35:30 IST 2025","passed","Mon May 19 11:35:30 IST 2025","com.thetestingacademy.testng.Lab264","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab264","demo5"
"TC#3  - verify GET Request 3","1","getRequest3","Restful booker API Test Suite","Fri May 23 10:45:12 IST 2025","passed","Fri May 23 10:45:12 IST 2025","com.thetestingacademy.testng.Lab262","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab262","getRequest3"
"","1","testPUTReq","Default Suite","Tue May 20 11:09:19 IST 2025","passed","Tue May 20 11:09:19 IST 2025","com.thetestingacademy.testng.Lab267","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab267","testPUTReq"
"TC#2  - verify GET 262 Request 1","1428","getRequest2","Restful booker API Test Suite","Fri May 23 10:45:15 IST 2025","passed","Fri May 23 10:45:17 IST 2025","com.thetestingacademy.testng.Lab261","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab261","getRequest2"
"","12","testDeleteReq","Default Suite","Tue May 20 11:09:19 IST 2025","passed","Tue May 20 11:09:19 IST 2025","com.thetestingacademy.testng.Lab267","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab267","testDeleteReq"
"TC#1  - verify GET Request 1","2","getRequest","Restful booker API Test Suite","Fri May 23 10:45:12 IST 2025","unknown","Fri May 23 10:45:12 IST 2025","com.thetestingacademy.testng.Lab262","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab262","getRequest"
"TC#1","14","testcase","Default Suite","Mon May 19 11:49:38 IST 2025","failed","Mon May 19 11:49:38 IST 2025","com.thetestingacademy.testng.Lab265","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab265","testcase"
"","12","testCase1","Restful booker API Test Suite","Tue May 20 10:45:48 IST 2025","passed","Tue May 20 10:45:48 IST 2025","com.thetestingacademy.testng.Lab266","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab266","testCase1"
"TC#1  - verify 261 GET Request 1","3194","getRequest","Restful booker API Test Suite","Fri May 23 10:45:12 IST 2025","passed","Fri May 23 10:45:15 IST 2025","com.thetestingacademy.testng.Lab261","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab261","getRequest"
"","1","testGETReq","Default Suite","Tue May 20 11:09:19 IST 2025","passed","Tue May 20 11:09:19 IST 2025","com.thetestingacademy.testng.Lab267","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab267","testGETReq"
"","8","testCase2","Restful booker API Test Suite","Tue May 20 10:45:48 IST 2025","failed","Tue May 20 10:45:48 IST 2025","com.thetestingacademy.testng.Lab266","ATB6xRestAssuredPractice","com.thetestingacademy.testng.Lab266","testCase2"
